modelo,pacientes,n_eval_estricto,n_segmentadas_total,dice_estricto_promedio,iou_estricto_promedio,dice_flexible_promedio,iou_flexible_promedio,tiempo_por_vertebra_s,lectura
nn_sam_entrenamiento_completo,38,552,646,0.5396583168960835,0.4635861069538659,0.7486974900214055,0.6380049988048109,0.0212378766261194,Base robusta NN-SAM + MedSAM
final_sam_red_nombres,38,550,646,0.28803447458386494,0.24197963997797364,0.7452621688590654,0.6331983235411189,0.025910272600703034,"Red de nombres: flexible aceptable, estricto bajo"
vertebraprompt_net_medsam,38,540,646,0.16354816013777757,0.11839464953397527,0.314544736255092,0.23522695303616778,0.020086103096610113,Primer VertebraPrompt-Net; no consolido metricas
vertebraprompt_shift_confiado,38,540,631,0.5450163107636433,0.46960195157404894,0.7459740933442712,0.636795213937296,0.020153612993138493,"Shift confiado; mejora estricto frente a ramas fallidas, no supera ganador"
vertebraprompt_crop_id,38,541,646,0.3233076446802267,0.2745948073904934,0.756198475050795,0.6454794450310956,0.02026861625357355,"Identificacion por crop; flexible bueno, estricto insuficiente"
vertebraprompt_auxiliar,38,554,646,0.5468383920965788,0.47039432905176753,0.7561880201065435,0.6454653743565242,0.020462871981307505,Variante auxiliar con mejora leve
vertebraprompt_boxrefiner,38,554,646,0.5530290116889581,0.47946722847380646,0.767842039020708,0.661482674081371,0.019294616252676967,Estrategia ganadora por metricas promedio
boxrefiner_anatomyshift,38,547,646,0.244276216184737,0.21122383778453901,0.7685482742014836,0.662627830927742,0.021301458050545893,"Diagnostico: flexible alto, estricto bajo"
boxrefiner_alignment_conservador,38,525,646,0.31161021429832014,0.2687107323837404,0.7685265967809507,0.662596768091968,0.02076950836018443,Diagnostico de alineamiento anatomico
