cfg_nombre,prompt_mode,n_vert,dice_e_mean,dice_e_std,iou_e_mean,dice_f_mean,degradacion_pct,hallucination_rate
baseline,auto,484,0.5883544953182281,0.378520959108702,0.5090297132465639,0.7279128933199432,0.0,2.3421052631578947
baseline,auto_norefiner,484,0.5587129088416198,0.363535787019149,0.4690129765115074,0.6935418643020024,0.0,2.3421052631578947
baseline,gt_box,491,0.9334600842645351,0.03260531212247465,0.8768616288712419,0.9334600842645351,0.0,0.0
leve_inferior,auto,479,0.5932856497242383,0.37349510763095595,0.5113062982175517,0.7236467506442615,-0.8381264093755166,2.4473684210526314
leve_inferior,auto_norefiner,481,0.5655254339912952,0.3601600839757346,0.47440517907325247,0.691308210243488,-1.2193248163533144,2.4210526315789473
leve_inferior,gt_box,490,0.9130759665715835,0.05756033965138042,0.8438693168040217,0.9130759665715835,2.183716051341609,0.0
leve_simetrico,auto,481,0.5934555354750959,0.3764572829132232,0.5135056912963476,0.7266336854589972,-0.8670011357878213,2.5
leve_simetrico,auto_norefiner,481,0.5617537250620731,0.3614810574304711,0.47128977443896375,0.6899763549951313,-0.5442537969558994,2.3157894736842106
leve_simetrico,gt_box,490,0.9289463519682697,0.054034785218346836,0.8706282737305656,0.9289463519682697,0.48354850650327735,0.0
leve_superior,auto,480,0.5789937180742581,0.3774264087213448,0.49817193879099714,0.7194722859956733,1.5910097260167881,2.5526315789473686
leve_superior,auto_norefiner,480,0.5512863984088904,0.36306687166261903,0.4610667400709919,0.6881734879758123,1.329217620571333,2.5526315789473686
leve_superior,gt_box,490,0.9126373911473239,0.05023708704796514,0.8426367958115233,0.9126373911473239,2.2306998947488155,0.0
moderado_inferior,auto,476,0.590752970459575,0.37143651977901543,0.5076486308055073,0.7137609302312466,-0.40765816534631066,2.3157894736842106
moderado_inferior,auto_norefiner,476,0.5649363997003651,0.3600548518922587,0.47403543015829525,0.6849867709417,-1.113897810531793,2.289473684210526
moderado_inferior,gt_box,487,0.9077889547871995,0.06841547923518468,0.8365589939205924,0.9077889547871995,2.7501046815045855,0.0
moderado_simetrico,auto,471,0.5240333324834135,0.3943730297865707,0.45005224104138153,0.7095694255052527,10.932382321651962,2.6315789473684212
moderado_simetrico,auto_norefiner,470,0.4967558712038451,0.37687484917838887,0.4137816494795454,0.6747077075609307,11.089243985113987,2.4473684210526314
moderado_simetrico,gt_box,480,0.9252609036869046,0.0486755162641167,0.8642389996372759,0.9252609036869046,0.8783643474257963,0.0
moderado_superior,auto,468,0.551325608960491,0.3798086412696408,0.47044453101623657,0.7095694257294617,6.293635325707682,2.6578947368421053
moderado_superior,auto_norefiner,468,0.5281799673112064,0.3672657718700853,0.44015997080012725,0.6809087351860819,5.464871322503967,2.6052631578947367
moderado_superior,gt_box,469,0.9102077255511974,0.05536603267038146,0.8391627466333764,0.9102077255511974,2.4909858605960604,0.0
severo_inferior,auto,471,0.5775326886096281,0.37395422768029907,0.4945829952163874,0.7100914126988631,1.8393344139822916,2.5
severo_inferior,auto_norefiner,470,0.5467924434719122,0.3618907305302206,0.4559904048146705,0.6739593951808989,2.133558251664939,2.3947368421052633
severo_inferior,gt_box,477,0.9068594235975599,0.04841272871282134,0.8329203117943045,0.9068594235975599,2.849683785668631,0.0
severo_simetrico,auto,417,0.39498616682566373,0.3900227862606118,0.32979151523077366,0.7034435132221182,32.865955819369695,3.9473684210526314
severo_simetrico,auto_norefiner,417,0.37143046652955425,0.37861404399586934,0.30506324491544995,0.6764465729963675,33.52033564077811,3.9210526315789473
severo_simetrico,gt_box,422,0.9164724140077586,0.07401953008057963,0.8522185298681166,0.9164724140077586,1.8198603821566655,0.0
severo_superior,auto,432,0.44905289051403563,0.39304988321872336,0.37826822461099574,0.7039360796975791,23.676474967501917,3.4210526315789473
severo_superior,auto_norefiner,433,0.4236620933639408,0.3804279130178976,0.3493436821714986,0.6780555641575796,24.171772898120444,3.4473684210526314
severo_superior,gt_box,436,0.9025369844690198,0.07677072841766734,0.8290134277217606,0.9025369844690198,3.312739378661206,0.0
